epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3772.27,1.55512,1.10105,0.9138,0.41883,0.3129,0.31085,0.17667,1.48089,1.06779,0.90548,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3889.45,1.56307,1.10649,0.91472,0.41007,0.32293,0.31201,0.17802,1.46972,1.06237,0.90455,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4000.61,1.55635,1.10215,0.91198,0.41382,0.31823,0.31324,0.17948,1.46948,1.05865,0.9046,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4111.65,1.54567,1.09495,0.91233,0.41164,0.31822,0.31321,0.17912,1.47488,1.06284,0.9044,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4223.84,1.54507,1.09203,0.9088,0.41891,0.31753,0.31492,0.17958,1.47192,1.05725,0.9036,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4336.79,1.54313,1.08561,0.9095,0.42727,0.31829,0.31768,0.18095,1.46197,1.05093,0.90213,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4450.41,1.5412,1.08515,0.90986,0.42976,0.32106,0.31783,0.18221,1.46607,1.05035,0.90131,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4574.42,1.54358,1.08509,0.9085,0.41888,0.32352,0.31942,0.1803,1.47024,1.05023,0.90314,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4697.86,1.53469,1.07772,0.90764,0.42393,0.32431,0.32077,0.18276,1.45912,1.04861,0.90015,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4819.4,1.52609,1.06858,0.90864,0.44174,0.32298,0.32346,0.18407,1.45845,1.04268,0.90167,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4938.47,1.53152,1.07344,0.90623,0.42848,0.32386,0.32111,0.18339,1.45697,1.0457,0.90039,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5058.65,1.52876,1.06959,0.90514,0.42608,0.32541,0.32432,0.18533,1.45055,1.04213,0.90009,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5186.2,1.52646,1.06365,0.9061,0.42448,0.3266,0.32327,0.18413,1.45312,1.04067,0.90129,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5303.25,1.52416,1.06367,0.90503,0.42146,0.33502,0.3272,0.18627,1.4517,1.03652,0.90035,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5423.28,1.52294,1.06144,0.90413,0.43371,0.3307,0.3258,0.18471,1.45225,1.03677,0.90052,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5539.7,1.52167,1.05878,0.90253,0.43721,0.32831,0.32641,0.1869,1.4535,1.03518,0.90048,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5672.83,1.51481,1.0537,0.90371,0.41461,0.33115,0.3229,0.18562,1.45215,1.03465,0.90004,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
