模型名称,平均推理时间(ms),最慢推理时间(ms),最快推理时间(ms),理论最大FPS,平均每帧检测数,最多检测数(单帧),平均置信度,总检测目标数
原始模型 (yolov8m),450.1,605.69,355.25,2.2,8.89,22,0.554,4656
优化模型 (best.pt),79.79,119.96,63.52,12.5,7.93,49,0.417,4156
